TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20130114,BUY,1,AAPL  140118C00490000,18/01/2014,490,C,71.31,-7131,-0.6977,-7131.6977,OPT,O,100,
20130114,SELL,-1,AAPL  140118C00500000,18/01/2014,500,C,66.36,6636,-0.846346,6635.153654,OPT,O,100,
20130603,SELL,-1,AAPL7 130921P00420000,21/09/2013,420,P,17,170,-1.070658,168.929342,OPT,O,10,
20130920,BUY,1,AAPL7 130921P00420000,21/09/2013,420,P,0,0,0,0,OPT,C,10,Ep;
